PUID;Parent;LocalID;TypeGraphics
1;Batt;LabelBattCharging;ioLabel
2;Batt;GridChargerInput;ioPanelGrid
3;Batt;InstrChargeInputVolt;ioTextBlock
4;Batt;LabelChargeInputVolt;ioLabel
5;Batt;GridChargeActive12V;ioPanelGrid
6;Batt;ShapeActiveCharge12V;ioShape
7;Batt;LabelActiveCharge12V;ioLabel
8;Batt;GridChargeActive24V;ioPanelGrid
9;Batt;ShapeActiveCharge24V;ioShape
10;Batt;LabelActiveCharge24V;ioLabel
11;Batt;BattPanel12V;ioPanelGrid
12;Batt;BattPanel24V;ioPanelGrid
13;Batt;BattStatusGrid;ioPanelGrid
14;Batt;BattChargingGrid;ioPanelGrid
15;Batt;LabelStatus;ioLabel
16;Batt;GridSoc;ioPanelGrid
17;Batt;InstrSoc;ioTextBlock
18;Batt;LabelSoc;ioLabel
19;Batt;GridTime;ioPanelGrid
20;Batt;InstrTime;ioTextBlock
21;Batt;LabelTime;ioLabel
22;Batt.Dc12;LabelBatt;ioLabel
23;Batt.Dc12;GridVolt;ioPanelGrid
24;Batt.Dc12;InstrVolt;ioTextBlock
25;Batt.Dc12;LabelVolt;ioLabel
26;Batt.Dc12;GridBattAmp;ioPanelGrid
27;Batt.Dc12;InstrAmpAvg;ioTextBlock
28;Batt.Dc12;LabelAmpAvg;ioLabel
29;Batt.Dc12;InstrAmpDiff;ioTextBlock
30;Batt.Dc24;LabelBatt;ioLabel
31;Batt.Dc24;GridVolt;ioPanelGrid
32;Batt.Dc24;InstrVolt;ioTextBlock
33;Batt.Dc24;LabelVolt;ioLabel
34;Batt.Dc24;GridBattAmp;ioPanelGrid
35;Batt.Dc24;InstrAmpAvg;ioTextBlock
36;Batt.Dc24;LabelAmpAvg;ioLabel
37;Batt.Dc24;InstrAmpDiff;ioTextBlock
38;Ids;GridStatusCcF;ioPanelGrid
39;Ids;GridStatusCcM;ioPanelGrid
40;Ids;GridStatusCcA;ioPanelGrid
41;Ids.CcF;LabelIdsCc;ioLabel
42;Ids.CcF;ShapeWiFi;ioShape
43;Ids.CcF;ShapeEthernet;ioShape
44;Ids.CcF;ShapeIO;ioShape
45;Ids.CcF;ShapeInCommand;ioShape
46;Ids.CcM;LabelIdsCc;ioLabel
47;Ids.CcM;ShapeWiFi;ioShape
48;Ids.CcM;ShapeEthernet;ioShape
49;Ids.CcM;ShapeIO;ioShape
50;Ids.CcM;ShapeInCommand;ioShape
51;Ids.CcA;LabelIdsCc;ioLabel
52;Ids.CcA;ShapeWiFi;ioShape
53;Ids.CcA;ShapeEthernet;ioShape
54;Ids.CcA;ShapeIO;ioShape
55;Ids.CcA;ShapeInCommand;ioShape
58;Pow.CpM;CommandNoRef;ioPanelGrid
59;Pow.CpM;ModeNoRef;ioPanelGrid
60;Pow.CpA;CommandNoRef;ioPanelGrid
61;Pow.CpA;ModeNoRef;ioPanelGrid
62;Pow.CpM;HeaderCommandPanelPow;ioLabel
63;Pow.CpM;ShapeCommandStatusPow;ioShape
64;Pow.CpM;LabelPowerMode;ioLabel
65;Pow.CpM;TextCommandStatusPow;ioTextBlock
66;Pow.CpM;ButtTakeRequestPow;ioButtonShape
67;Pow.CpM;ButtReleasePow;ioButtonShape
68;Pow.CpA;HeaderCommandPanelPow;ioLabel
69;Pow.CpA;ShapeCommandStatusPow;ioShape
70;Pow.CpA;LabelPowerMode;ioLabel
71;Pow.CpA;TextCommandStatusPow;ioTextBlock
72;Pow.CpA;ButtTakeRequestPow;ioButtonShape
73;Pow.CpA;ButtReleasePow;ioButtonShape
74;Pow.CpM;ButtDockIdle;ioButtonText
75;Pow.CpM;ButtDockConnectedShore;ioButtonText
76;Pow.CpM;ButtDockNotConnected;ioButtonText
77;Pow.CpM;ButtInTransit;ioButtonText
78;Pow.CpM;ButtInTransitEngine;ioButtonText
79;Pow.CpM;ButtInTransitSailing;ioButtonText
80;Pow.CpA;ButtInTransit;ioButtonText
81;Pow.CpA;ButtInTransitEngine;ioButtonText
82;Pow.CpA;ButtInTransitSailing;ioButtonText
83;Pow.Out12V;GridAftPowOutput;ioPanelGrid
84;Pow.Out12V;GridMidPowOutput;ioPanelGrid
85;Pow.Out12V;GridFwdPowOutput;ioPanelGrid
86;Pow.Out24V;GridAftPowOutput;ioPanelGrid
87;Pow.Out24V;GridMidPowOutput;ioPanelGrid
88;Pow.Out24V;GridFwdPowOutput;ioPanelGrid
89;Pow.Out220V;GridAftPowOutput;ioPanelGrid
90;Pow.Out220V;GridMidPowOutput;ioPanelGrid
91;Pow.Out220V;GridFwdPowOutput;ioPanelGrid
92;Pow.Out12M;GridChInd1;ioPanelGrid
93;Pow.Out12M;ShpOnOffInd1;ioShape
94;Pow.Out12M;LabelNameInd1;ioLabel
95;Pow.Out12M;GridChInd2;ioPanelGrid
96;Pow.Out12M;ShpOnOffInd2;ioShape
97;Pow.Out12M;LabelNameInd2;ioLabel
98;Pow.Out12M;GridChInd3;ioPanelGrid
99;Pow.Out12M;ShpOnOffInd3;ioShape
100;Pow.Out12M;LabelNameInd3;ioLabel
101;Pow.Out12M;GridChInd4;ioPanelGrid
102;Pow.Out12M;ShpOnOffInd4;ioShape
103;Pow.Out12M;LabelNameInd4;ioLabel
104;Pow.Out12M;GridChInd5;ioPanelGrid
105;Pow.Out12M;ShpOnOffInd5;ioShape
106;Pow.Out12M;LabelNameInd5;ioLabel
107;Pow.Out12M;GridChInd6;ioPanelGrid
108;Pow.Out12M;ShpOnOffInd6;ioShape
109;Pow.Out12M;LabelNameInd6;ioLabel
110;Pow.Out12M;GridChInd7;ioPanelGrid
111;Pow.Out12M;ShpOnOffInd7;ioShape
112;Pow.Out12M;LabelNameInd7;ioLabel
113;Pow.Out12M;GridChInd8;ioPanelGrid
114;Pow.Out12M;ShpOnOffInd8;ioShape
115;Pow.Out12M;LabelNameInd8;ioLabel
116;Pow.Out12F;GridChInd1;ioPanelGrid
117;Pow.Out12F;ShpOnOffInd1;ioShape
118;Pow.Out12F;LabelNameInd1;ioLabel
119;Pow.Out12F;GridChInd2;ioPanelGrid
120;Pow.Out12F;ShpOnOffInd2;ioShape
121;Pow.Out12F;LabelNameInd2;ioLabel
122;Pow.Out12F;GridChInd3;ioPanelGrid
123;Pow.Out12F;ShpOnOffInd3;ioShape
124;Pow.Out12F;LabelNameInd3;ioLabel
125;Pow.Out12F;GridChInd4;ioPanelGrid
126;Pow.Out12F;ShpOnOffInd4;ioShape
127;Pow.Out12F;LabelNameInd4;ioLabel
128;Pow.Out12F;GridChInd5;ioPanelGrid
129;Pow.Out12F;ShpOnOffInd5;ioShape
130;Pow.Out12F;LabelNameInd5;ioLabel
131;Pow.Out12F;GridChInd6;ioPanelGrid
132;Pow.Out12F;ShpOnOffInd6;ioShape
133;Pow.Out12F;LabelNameInd6;ioLabel
134;Pow.Out12F;GridChInd7;ioPanelGrid
135;Pow.Out12F;ShpOnOffInd7;ioShape
136;Pow.Out12F;LabelNameInd7;ioLabel
137;Pow.Out12F;GridChInd8;ioPanelGrid
138;Pow.Out12F;ShpOnOffInd8;ioShape
139;Pow.Out12F;LabelNameInd8;ioLabel
140;Pow.Out12A;GridChInd1;ioPanelGrid
141;Pow.Out12A;ShpOnOffInd1;ioShape
142;Pow.Out12A;LabelNameInd1;ioLabel
143;Pow.Out12A;GridChInd2;ioPanelGrid
144;Pow.Out12A;ShpOnOffInd2;ioShape
145;Pow.Out12A;LabelNameInd2;ioLabel
146;Pow.Out12A;GridChInd3;ioPanelGrid
147;Pow.Out12A;ShpOnOffInd3;ioShape
148;Pow.Out12A;LabelNameInd3;ioLabel
149;Pow.Out12A;GridChInd4;ioPanelGrid
150;Pow.Out12A;ShpOnOffInd4;ioShape
151;Pow.Out12A;LabelNameInd4;ioLabel
152;Pow.Out12A;GridChInd5;ioPanelGrid
153;Pow.Out12A;ShpOnOffInd5;ioShape
154;Pow.Out12A;LabelNameInd5;ioLabel
155;Pow.Out12A;GridChInd6;ioPanelGrid
156;Pow.Out12A;ShpOnOffInd6;ioShape
157;Pow.Out12A;LabelNameInd6;ioLabel
158;Pow.Out12A;GridChInd7;ioPanelGrid
159;Pow.Out12A;ShpOnOffInd7;ioShape
160;Pow.Out12A;LabelNameInd7;ioLabel
161;Pow.Out12A;GridChInd8;ioPanelGrid
162;Pow.Out12A;ShpOnOffInd8;ioShape
163;Pow.Out12A;LabelNameInd8;ioLabel
164;Pow.Out24M;GridChInd1;ioPanelGrid
165;Pow.Out24M;ShpOnOffInd1;ioShape
166;Pow.Out24M;LabelNameInd1;ioLabel
167;Pow.Out24M;GridChInd2;ioPanelGrid
168;Pow.Out24M;ShpOnOffInd2;ioShape
169;Pow.Out24M;LabelNameInd2;ioLabel
170;Pow.Out24M;GridChInd3;ioPanelGrid
171;Pow.Out24M;ShpOnOffInd3;ioShape
172;Pow.Out24M;LabelNameInd3;ioLabel
173;Pow.Out24M;GridChInd4;ioPanelGrid
174;Pow.Out24M;ShpOnOffInd4;ioShape
175;Pow.Out24M;LabelNameInd4;ioLabel
176;Pow.Out24M;GridChInd5;ioPanelGrid
177;Pow.Out24M;ShpOnOffInd5;ioShape
178;Pow.Out24M;LabelNameInd5;ioLabel
179;Pow.Out24M;GridChInd6;ioPanelGrid
180;Pow.Out24M;ShpOnOffInd6;ioShape
181;Pow.Out24M;LabelNameInd6;ioLabel
182;Pow.Out24M;GridChInd7;ioPanelGrid
183;Pow.Out24M;ShpOnOffInd7;ioShape
184;Pow.Out24M;LabelNameInd7;ioLabel
185;Pow.Out24M;GridChInd8;ioPanelGrid
186;Pow.Out24M;ShpOnOffInd8;ioShape
187;Pow.Out24M;LabelNameInd8;ioLabel
188;Pow.Out24F;GridChInd1;ioPanelGrid
189;Pow.Out24F;ShpOnOffInd1;ioShape
190;Pow.Out24F;LabelNameInd1;ioLabel
191;Pow.Out24F;GridChInd2;ioPanelGrid
192;Pow.Out24F;ShpOnOffInd2;ioShape
193;Pow.Out24F;LabelNameInd2;ioLabel
194;Pow.Out24F;GridChInd3;ioPanelGrid
195;Pow.Out24F;ShpOnOffInd3;ioShape
196;Pow.Out24F;LabelNameInd3;ioLabel
197;Pow.Out24F;GridChInd4;ioPanelGrid
198;Pow.Out24F;ShpOnOffInd4;ioShape
199;Pow.Out24F;LabelNameInd4;ioLabel
200;Pow.Out24F;GridChInd5;ioPanelGrid
201;Pow.Out24F;ShpOnOffInd5;ioShape
202;Pow.Out24F;LabelNameInd5;ioLabel
203;Pow.Out24F;GridChInd6;ioPanelGrid
204;Pow.Out24F;ShpOnOffInd6;ioShape
205;Pow.Out24F;LabelNameInd6;ioLabel
206;Pow.Out24F;GridChInd7;ioPanelGrid
207;Pow.Out24F;ShpOnOffInd7;ioShape
208;Pow.Out24F;LabelNameInd7;ioLabel
209;Pow.Out24F;GridChInd8;ioPanelGrid
210;Pow.Out24F;ShpOnOffInd8;ioShape
211;Pow.Out24F;LabelNameInd8;ioLabel
212;Pow.Out24A;GridChInd1;ioPanelGrid
213;Pow.Out24A;ShpOnOffInd1;ioShape
214;Pow.Out24A;LabelNameInd1;ioLabel
215;Pow.Out24A;GridChInd2;ioPanelGrid
216;Pow.Out24A;ShpOnOffInd2;ioShape
217;Pow.Out24A;LabelNameInd2;ioLabel
218;Pow.Out24A;GridChInd3;ioPanelGrid
219;Pow.Out24A;ShpOnOffInd3;ioShape
220;Pow.Out24A;LabelNameInd3;ioLabel
221;Pow.Out24A;GridChInd4;ioPanelGrid
222;Pow.Out24A;ShpOnOffInd4;ioShape
223;Pow.Out24A;LabelNameInd4;ioLabel
224;Pow.Out24A;GridChInd5;ioPanelGrid
225;Pow.Out24A;ShpOnOffInd5;ioShape
226;Pow.Out24A;LabelNameInd5;ioLabel
227;Pow.Out24A;GridChInd6;ioPanelGrid
228;Pow.Out24A;ShpOnOffInd6;ioShape
229;Pow.Out24A;LabelNameInd6;ioLabel
230;Pow.Out24A;GridChInd7;ioPanelGrid
231;Pow.Out24A;ShpOnOffInd7;ioShape
232;Pow.Out24A;LabelNameInd7;ioLabel
233;Pow.Out24A;GridChInd8;ioPanelGrid
234;Pow.Out24A;ShpOnOffInd8;ioShape
235;Pow.Out24A;LabelNameInd8;ioLabel
236;Pow.Out220M;GridChInd1;ioPanelGrid
237;Pow.Out220M;ShpOnOffInd1;ioShape
238;Pow.Out220M;LabelNameInd1;ioLabel
239;Pow.Out220M;GridChInd2;ioPanelGrid
240;Pow.Out220M;ShpOnOffInd2;ioShape
241;Pow.Out220M;LabelNameInd2;ioLabel
242;Pow.Out220M;GridChInd3;ioPanelGrid
243;Pow.Out220M;ShpOnOffInd3;ioShape
244;Pow.Out220M;LabelNameInd3;ioLabel
245;Pow.Out220M;GridChInd4;ioPanelGrid
246;Pow.Out220M;ShpOnOffInd4;ioShape
247;Pow.Out220M;LabelNameInd4;ioLabel
248;Pow.Out220M;GridChInd5;ioPanelGrid
249;Pow.Out220M;ShpOnOffInd5;ioShape
250;Pow.Out220M;LabelNameInd5;ioLabel
251;Pow.Out220M;GridChInd6;ioPanelGrid
252;Pow.Out220M;ShpOnOffInd6;ioShape
253;Pow.Out220M;LabelNameInd6;ioLabel
254;Pow.Out220M;GridChInd7;ioPanelGrid
255;Pow.Out220M;ShpOnOffInd7;ioShape
256;Pow.Out220M;LabelNameInd7;ioLabel
257;Pow.Out220M;GridChInd8;ioPanelGrid
258;Pow.Out220M;ShpOnOffInd8;ioShape
259;Pow.Out220M;LabelNameInd8;ioLabel
260;Pow.Out220F;GridChInd1;ioPanelGrid
261;Pow.Out220F;ShpOnOffInd1;ioShape
262;Pow.Out220F;LabelNameInd1;ioLabel
263;Pow.Out220F;GridChInd2;ioPanelGrid
264;Pow.Out220F;ShpOnOffInd2;ioShape
265;Pow.Out220F;LabelNameInd2;ioLabel
266;Pow.Out220F;GridChInd3;ioPanelGrid
267;Pow.Out220F;ShpOnOffInd3;ioShape
268;Pow.Out220F;LabelNameInd3;ioLabel
269;Pow.Out220F;GridChInd4;ioPanelGrid
270;Pow.Out220F;ShpOnOffInd4;ioShape
271;Pow.Out220F;LabelNameInd4;ioLabel
272;Pow.Out220F;GridChInd5;ioPanelGrid
273;Pow.Out220F;ShpOnOffInd5;ioShape
274;Pow.Out220F;LabelNameInd5;ioLabel
275;Pow.Out220F;GridChInd6;ioPanelGrid
276;Pow.Out220F;ShpOnOffInd6;ioShape
277;Pow.Out220F;LabelNameInd6;ioLabel
278;Pow.Out220F;GridChInd7;ioPanelGrid
279;Pow.Out220F;ShpOnOffInd7;ioShape
280;Pow.Out220F;LabelNameInd7;ioLabel
281;Pow.Out220F;GridChInd8;ioPanelGrid
282;Pow.Out220F;ShpOnOffInd8;ioShape
283;Pow.Out220F;LabelNameInd8;ioLabel
284;Pow.Out220A;GridChInd1;ioPanelGrid
285;Pow.Out220A;ShpOnOffInd1;ioShape
286;Pow.Out220A;LabelNameInd1;ioLabel
287;Pow.Out220A;GridChInd2;ioPanelGrid
288;Pow.Out220A;ShpOnOffInd2;ioShape
289;Pow.Out220A;LabelNameInd2;ioLabel
290;Pow.Out220A;GridChInd3;ioPanelGrid
291;Pow.Out220A;ShpOnOffInd3;ioShape
292;Pow.Out220A;LabelNameInd3;ioLabel
293;Pow.Out220A;GridChInd4;ioPanelGrid
294;Pow.Out220A;ShpOnOffInd4;ioShape
295;Pow.Out220A;LabelNameInd4;ioLabel
296;Pow.Out220A;GridChInd5;ioPanelGrid
297;Pow.Out220A;ShpOnOffInd5;ioShape
298;Pow.Out220A;LabelNameInd5;ioLabel
299;Pow.Out220A;GridChInd6;ioPanelGrid
300;Pow.Out220A;ShpOnOffInd6;ioShape
301;Pow.Out220A;LabelNameInd6;ioLabel
302;Pow.Out220A;GridChInd7;ioPanelGrid
303;Pow.Out220A;ShpOnOffInd7;ioShape
304;Pow.Out220A;LabelNameInd7;ioLabel
305;Pow.Out220A;GridChInd8;ioPanelGrid
306;Pow.Out220A;ShpOnOffInd8;ioShape
307;Pow.Out220A;LabelNameInd8;ioLabel
308;Pow.Out12M;GridCh1;ioPanelGrid
309;Pow.Out12M;ButtOffCh1;ioButtonShape
310;Pow.Out12M;ButtOnCh1;ioButtonShape
311;Pow.Out12M;GridCh2;ioPanelGrid
312;Pow.Out12M;ButtOffCh2;ioButtonShape
313;Pow.Out12M;ButtOnCh2;ioButtonShape
314;Pow.Out12M;GridCh3;ioPanelGrid
315;Pow.Out12M;ButtOffCh3;ioButtonShape
316;Pow.Out12M;ButtOnCh3;ioButtonShape
317;Pow.Out12M;GridCh4;ioPanelGrid
318;Pow.Out12M;ButtOffCh4;ioButtonShape
319;Pow.Out12M;ButtOnCh4;ioButtonShape
320;Pow.Out12M;GridCh5;ioPanelGrid
